자치구,한식 일반 음식점업.1,커피전문점.1,기타주점업.1,일반 교과 학원.1,한식 육류요리 전문점.1,총합
종로구,5912,3613,1413,382,1982,13302
중구,6414,3542,982,175,2121,13234
용산구,2987,2076,1332,573,1184,8152
성동구,2785,1859,621,1494,1545,8304
광진구,2861,1887,1577,1646,1678,9649
동대문구,3566,1472,1082,984,1509,8613
중랑구,2479,1037,1000,1045,1504,7065
성북구,2822,1384,1030,1755,1334,8325
강북구,2663,1095,1275,740,1176,6949
도봉구,2009,837,477,1162,943,5428
노원구,2650,1748,844,3281,1557,10080
은평구,2585,1296,925,1793,1639,8238
서대문구,2694,1323,1127,1268,1088,7500
마포구,4705,4475,2559,1855,2928,16522
양천구,2800,1375,851,5804,1111,11941
강서구,4584,2530,1709,2347,2274,13444
구로구,3215,1384,1165,1111,1496,8371
금천구,2619,1215,685,487,1042,6048
영등포구,6476,3295,1489,1082,2151,14493
동작구,2322,1628,955,1463,1177,7545
관악구,3689,2049,1672,1230,1628,10268
서초구,6712,3897,1255,3812,2338,18014
강남구,11486,7273,2528,9020,5008,35315
송파구,5760,3372,1469,4160,2781,17542
강동구,3388,1660,1349,2104,1459,9960
